onset_expected	duration_expected	orientation	contrast	side	trial	subject	trial_type	run
0	16	0	1	left	1	6	grating	3
4.9	0.4	n/a	n/a	middle	1	6	dim	3
10.1	0.4	n/a	n/a	middle	2	6	dim	3
14.3	0.4	n/a	n/a	middle	3	6	dim	3
16	16	0	1	right	1	6	grating	3
19.5	0.4	n/a	n/a	middle	4	6	dim	3
22.2	0.4	n/a	n/a	middle	5	6	dim	3
25.6	0.4	n/a	n/a	middle	6	6	dim	3
28.1	0.4	n/a	n/a	middle	7	6	dim	3
32	16	0	1	left	2	6	grating	3
32.1	0.4	n/a	n/a	middle	8	6	dim	3
36.7	0.4	n/a	n/a	middle	9	6	dim	3
39.6	0.4	n/a	n/a	middle	10	6	dim	3
43.3	0.4	n/a	n/a	middle	11	6	dim	3
46	0.4	n/a	n/a	middle	12	6	dim	3
48	16	0	1	right	2	6	grating	3
49.3	0.4	n/a	n/a	middle	13	6	dim	3
54.1	0.4	n/a	n/a	middle	14	6	dim	3
58.1	0.4	n/a	n/a	middle	15	6	dim	3
62.8	0.4	n/a	n/a	middle	16	6	dim	3
64	16	0	1	left	3	6	grating	3
67.1	0.4	n/a	n/a	middle	17	6	dim	3
72.2	0.4	n/a	n/a	middle	18	6	dim	3
74.7	0.4	n/a	n/a	middle	19	6	dim	3
77.6	0.4	n/a	n/a	middle	20	6	dim	3
80	16	0	1	right	3	6	grating	3
81.2	0.4	n/a	n/a	middle	21	6	dim	3
85.8	0.4	n/a	n/a	middle	22	6	dim	3
90.9	0.4	n/a	n/a	middle	23	6	dim	3
93.3	0.4	n/a	n/a	middle	24	6	dim	3
96	16	0	1	left	4	6	grating	3
96.1	0.4	n/a	n/a	middle	25	6	dim	3
99.8	0.4	n/a	n/a	middle	26	6	dim	3
104.5	0.4	n/a	n/a	middle	27	6	dim	3
108.5	0.4	n/a	n/a	middle	28	6	dim	3
112	16	0	1	right	4	6	grating	3
113.2	0.4	n/a	n/a	middle	29	6	dim	3
116.1	0.4	n/a	n/a	middle	30	6	dim	3
120.5	0.4	n/a	n/a	middle	31	6	dim	3
124.8	0.4	n/a	n/a	middle	32	6	dim	3
127.2	0.4	n/a	n/a	middle	33	6	dim	3
128	16	0	1	left	5	6	grating	3
131.8	0.4	n/a	n/a	middle	34	6	dim	3
137.2	0.4	n/a	n/a	middle	35	6	dim	3
139.9	0.4	n/a	n/a	middle	36	6	dim	3
143.4	0.4	n/a	n/a	middle	37	6	dim	3
144	16	0	1	right	5	6	grating	3
146.3	0.4	n/a	n/a	middle	38	6	dim	3
150.9	0.4	n/a	n/a	middle	39	6	dim	3
153.8	0.4	n/a	n/a	middle	40	6	dim	3
159.2	0.4	n/a	n/a	middle	41	6	dim	3
160	16	0	1	left	6	6	grating	3
161.6	0.4	n/a	n/a	middle	42	6	dim	3
164.1	0.4	n/a	n/a	middle	43	6	dim	3
168.9	0.4	n/a	n/a	middle	44	6	dim	3
173.9	0.4	n/a	n/a	middle	45	6	dim	3
176	16	0	1	right	6	6	grating	3
178	0.4	n/a	n/a	middle	46	6	dim	3
182.7	0.4	n/a	n/a	middle	47	6	dim	3
186.7	0.4	n/a	n/a	middle	48	6	dim	3
190.9	0.4	n/a	n/a	middle	49	6	dim	3
192	16	0	1	left	7	6	grating	3
193.8	0.4	n/a	n/a	middle	50	6	dim	3
197.7	0.4	n/a	n/a	middle	51	6	dim	3
200.2	0.4	n/a	n/a	middle	52	6	dim	3
202.7	0.4	n/a	n/a	middle	53	6	dim	3
206.1	0.4	n/a	n/a	middle	54	6	dim	3
208	16	0	1	right	7	6	grating	3
210.4	0.4	n/a	n/a	middle	55	6	dim	3
215.5	0.4	n/a	n/a	middle	56	6	dim	3
219.9	0.4	n/a	n/a	middle	57	6	dim	3
224	16	0	1	left	8	6	grating	3
224.4	0.4	n/a	n/a	middle	58	6	dim	3
228.9	0.4	n/a	n/a	middle	59	6	dim	3
233.7	0.4	n/a	n/a	middle	60	6	dim	3
238.1	0.4	n/a	n/a	middle	61	6	dim	3
240	16	0	1	right	8	6	grating	3
242.1	0.4	n/a	n/a	middle	62	6	dim	3
245.5	0.4	n/a	n/a	middle	63	6	dim	3
250.7	0.4	n/a	n/a	middle	64	6	dim	3
253.8	0.4	n/a	n/a	middle	65	6	dim	3
256	16	0	1	left	9	6	grating	3
257.7	0.4	n/a	n/a	middle	66	6	dim	3
272	16	0	1	right	9	6	grating	3
288	16	0	1	left	10	6	grating	3
304	16	0	1	right	10	6	grating	3
