onsets	duration	orientation	contrast
0	5.5	120	0.2
8.49999999935362	5.5	45	0.8
16.9999937324507	5.5	90	0.2
25.4999999810302	5.5	30	0.2
33.9999999157098	5.5	105	0.2
42.4999999991377	5.5	105	0.8
51.0000000004094	5.5	165	0.2
59.500000000011	5.5	165	0.8
67.9999999999576	5.5	120	0.8
76.4999999990405	5.5	90	0.8
84.9999984853386	5.5	45	0.8
93.4999999772099	5.5	0	0.2
102.000000000457	5.5	15	0.8
110.500000473009	5.5	15	0.2
119.000000917532	5.5	150	0.2
127.500000011068	5.5	105	0.2
136.00000048968	5.5	90	0.8
144.50000000001	5.5	75	0.8
153.000000427448	5.5	150	0.8
161.499999595789	5.5	30	0.8
170.000007161764	5.5	15	0.8
178.499999600604	5.5	0	0.2
187.000002202502	5.5	150	0.8
195.499999993443	5.5	165	0.8
203.999999994326	5.5	30	0.2
212.500000000507	5.5	0	0.2
220.999999999894	5.5	60	0.8
229.499999999972	5.5	135	0.2
237.999999991462	5.5	165	0.2
246.499998427371	5.5	150	0.2
254.9999999854	5.5	75	0.8
263.500000119009	5.5	0	0.2
271.99999543821	5.5	135	0.8
280.500000000313	5.5	30	0.8
288.999999881017	5.5	45	0.2
297.499996076721	5.5	135	0.2
305.999999999448	5.5	60	0.2
314.500000000582	5.5	120	0.8
323.00000008962	5.5	90	0.2
331.49999999953	5.5	60	0.8
340.000000131387	5.5	75	0.2
348.49999999629	5.5	135	0.8
357.000000000113	5.5	120	0.2
365.499999998734	5.5	15	0.2
373.999999995134	5.5	45	0.2
382.500000000626	5.5	60	0.2
390.999999998736	5.5	75	0.2
399.5	5.5	105	0.8
